SMILES,Prediction_Score
Cc1nc(-c2ccc(CNC(=O)c3ccc(Cl)c(S(=O)(=O)N4CCCC4)c3)o2)cs1,0.6396
CN(c1ccccc1)S(=O)(=O)c1cccc(NC(=O)c2ccc3[nH]cnc3c2)c1,0.6388
COc1ccccc1NC(=O)Nc1cccc(S(=O)(=O)Nc2ccccc2OC)c1,0.637
NC(=O)Cc1ccc(NC(=O)c2cccc(S(=O)(=O)Nc3ccc(Br)cc3)c2)cc1,0.6251
COC(=O)c1ccccc1NS(=O)(=O)c1ccc(S(N)(=O)=O)cc1,0.6207
Cc1ccc(-c2nc(C(=O)Nc3ccc(F)c(C(N)=O)c3)cs2)o1,0.6173
O=C(CNC(=O)c1ccccc1)Nc1ccc(S(=O)(=O)NCc2ccco2)cc1,0.6169
O=C(c1cccc(NS(=O)(=O)c2ccccc2F)c1)N1CCOCC1,0.6156
O=C(Nc1cccnc1)C1CCN(C(=O)c2ccc(-c3ccc(F)cc3)o2)CC1,0.6091
CCn1nc(C(=O)N(Cc2ccccc2)c2ccccc2)ccc1=O,0.6021
CN1CC(=O)Nc2cc(C(=O)Nc3ccc(F)cc3)ccc21,0.5966
CSc1cccc(NS(=O)(=O)c2ccc3c(c2)NC(=O)CC(=O)N3)c1,0.5941
O=C(Nc1ccc(CN2CCOCC2)cn1)c1ccc(-c2ccccc2Cl)o1,0.593
O=c1c2ccsc2ncn1Cc1coc(-c2ccccc2)n1,0.5924
Cc1ccc(S(=O)(=O)NCc2ccco2)cc1C(=O)N1CCc2ccccc21,0.5884
COCc1c(C(=O)NCc2nc3ccccc3s2)sc2cccc(F)c12,0.5873
N#CC1CCC(N2CCCC(NC(=O)c3ccc4ccccc4c3)C2)C1,0.5856
O=c1cc(CN(Cc2ccco2)c2ccccc2)nc2sccn12,0.5823
CSc1nc2ccc(N3C(=O)C(c4cccc(Br)c4)N(C)C3=O)cc2s1,0.5805
O=C(Nc1nc(-c2ccccn2)cs1)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,0.5778
COc1ccccc1N(C)S(=O)(=O)c1ccc(C(=O)Nc2ncc(C)s2)cc1,0.575
Cc1c(C(=O)N2CCN(c3cnccn3)CC2)sc2ncn(C)c(=O)c12,0.5734
O=C(O)c1ccc(Cl)c(S(=O)(=O)Nc2ccc3cn[nH]c3c2)c1,0.5709
NC(=O)c1cccc(C(=O)NCc2ccnc(OCc3ccccc3)c2)c1,0.5698
CCN1CCN(c2ccccc2NS(=O)(=O)c2ccc(NC(C)=O)cc2)CC1,0.5691
CS(=O)(=O)c1ccc(Cl)c(NC(=O)c2cnn(-c3ccc(F)cc3)n2)c1,0.5654
CCOc1ncccc1C(=O)Nc1nc(-c2ccc(C#N)cc2)cs1,0.5639
CNS(=O)(=O)c1ccc(C(=O)Nc2ncccc2O)cc1,0.5605
NC(=O)c1ccc(NS(=O)(=O)c2cccc3ccccc23)c(F)c1,0.5602
O=c1c2sccc2ncn1Cc1nc(-c2cccc([N+](=O)[O-])c2)no1,0.5584
Cc1ccc(-c2csc3ncn(Cc4ccc5c(c4)OCO5)c(=O)c23)s1,0.5485
CC(=O)Nc1cccc(NC(=O)c2cccc(N3CC=CC3)c2)c1,0.5439
CNS(=O)(=O)c1ccc(C(=O)Nc2cc(Cl)ccc2N2CCCCC2)cc1,0.541
CCc1cc(=O)c2cc(NC(=O)c3cc4c(C)nn(C)c4s3)ccc2[nH]1,0.5405
O=C(Nc1ccc(Cl)cc1)c1cc(=O)[nH]c2ccc(S(=O)(=O)N3CCOCC3)cc12,0.5391
CCN(CC)C(=O)c1sc2nc(-c3ccccn3)[nH]c(=O)c2c1C,0.5389
Cc1ccc(CNCc2cccc(NC(=O)c3ccccc3Cl)c2)cc1,0.5375
CCOc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)c1cccnc1,0.5358
O=C(NCc1ccc(-c2nc3ccccc3s2)o1)c1ccccc1F,0.5346
C[C@H](NC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1)c1nc2ccccc2[nH]1,0.5333
COc1ccc(O)c(NS(=O)(=O)c2ccc(C(=O)O)c(F)c2)c1,0.5326
COC(=O)c1ccoc1COc1ccccc1C(=O)NCc1ccccc1,0.5262
O=C1NCc2ccc(NCc3nc(-c4ccc(C(F)(F)F)cc4)no3)cc21,0.5256
CC(C)C(C(=O)Nc1nc2ccc(S(N)(=O)=O)cc2s1)c1ccc(Cl)cc1,0.5252
CC(=O)Nc1cc(S(=O)(=O)Nc2ccc3c(c2)CCC3)ccc1F,0.525
O=C(NCc1ccncc1)c1ccc(NC(=O)c2cccc(-n3ccnn3)c2)cc1,0.5246
COC(=O)c1cnc(NC(=O)c2cc(CN3C(=O)c4ccccc4C3=O)ccc2OC)s1,0.5226
O=C(NCc1ccccc1)C1CN(S(=O)(=O)c2ccccc2Cl)CCO1,0.5221
Cc1cc(=O)[nH]c(-c2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2)n1,0.5179
COc1cc(NCc2ncc(-c3ccc(Cl)cc3)o2)c(OC)cc1Cl,0.5166
Cc1ccc(N(Cc2ccco2)C(=O)Cc2csc(-c3ccco3)n2)cc1,0.5154
Clc1cccc(-n2c(SCc3nnc(-c4ccco4)o3)nnc2N2CCCC2)c1,0.5147
Cc1ccc(S(=O)(=O)Nc2cccc(-n3ccc(C(N)=O)n3)c2)cc1,0.5094
COc1ccc(Cl)cc1NC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,0.5061
CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C)CC2c2ccccc2)cc1,0.5048
CCN(Cc1cc(F)cc2cccnc12)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,0.4983
N#CCc1cccc(C(=O)N[C@H]2CCOC[C@H]2Nc2ccncn2)c1,0.4969
CO[C@@H]1C[C@@H](COc2cccnc2)N(S(=O)(=O)c2ccccc2)C1,0.4963
Cc1cccc(NC(=O)c2cccc(S(=O)(=O)N(C)c3ccccc3)c2)n1,0.4942
N#Cc1cccc(OCc2ccoc2C(=O)NCc2ccco2)c1,0.494
CC(NC(=O)c1cc2ccc(F)cc2s1)c1ccc(S(N)(=O)=O)cc1,0.4928
CN(C)S(=O)(=O)c1ccc(=O)n(Cc2cccc3ccccc23)c1,0.4926
O=c1cc(CN2CCC(c3nc4ccccc4s3)CC2)nc2ccc(Cl)cn12,0.4917
CN(Cc1ccsc1)C(=O)CSc1nc2ccccc2c(=O)n1Cc1cccnc1,0.4902
CC1=C(C(=O)OCc2ccccc2)C(c2cccc(F)c2)c2c([nH]c(=O)[nH]c2=O)N1,0.4897
Cn1ncc2c(=O)[nH]c(CN3CCNC(=O)c4ccccc43)nc21,0.4892
CC1Oc2ccc(NS(=O)(=O)c3cccc(CC#N)c3)cc2NC1=O,0.4858
NC(=O)c1ccc(C(=O)Nc2ccnn2CCc2ccccc2)cc1,0.4844
O=C(NCc1ccc(C(F)(F)F)cc1)c1cccc(Nc2ncccn2)c1,0.4818
COc1ccc2nc(N(Cc3ccccc3)C(=O)CCNC(=O)c3ccccc3C)sc2c1,0.4802
O=C(c1cn2ccccc2n1)N1CCS(=O)(=O)CC1,0.4749
CC(=O)Nc1ccc2nc(NC(=O)C3CC(=O)N(c4cccc(C)c4C)C3)sc2c1,0.4746
O=C1CN(C(=O)Cc2c(F)cccc2Cl)c2ccccc2N1,0.474
CN(C)S(=O)(=O)c1ccc(Cl)c(C(=O)Nc2ccccc2N2CCCC2=O)c1,0.4735
CCOc1cc(C(=O)NC(C)c2ccccc2)ccc1OCc1cccnc1,0.4711
O=C(CSc1nc2cc(S(=O)(=O)Nc3ccccc3Cl)ccc2o1)N1CCCC1,0.4691
O=C(NC[C@H]1CCCCN1)c1ncccc1S(=O)(=O)N1CCc2ccccc2C1,0.4671
O=C(Nc1ccnn1-c1ccccc1)c1c(F)cc(F)cc1F,0.4666
Cn1ccnc1C(NS(=O)(=O)c1ccc2c(c1)OCCCO2)c1ccccc1F,0.4647
CCc1ccc(-c2csc(NC(=O)c3ccc(Cn4cncn4)cc3)n2)cc1,0.4643
COc1ccc(-c2csc(NC(=O)c3ccc4c(c3)C(=O)N(C)C4=O)n2)cc1F,0.4637
Cc1ccc(-n2ncc(C(=O)Nc3ccc(Cl)cc3O)c2C(F)(F)F)cc1,0.4567
COc1ccccc1OCC(=O)NCc1ccc(-c2ccc(Cl)cc2)o1,0.4561
Cc1ccc2ncn(Cc3ncc(-c4cccc(Cl)c4)o3)c(=O)c2c1,0.4543
COc1cc(CNC(=O)c2c(F)cccc2F)ccc1OCc1cccnc1,0.4534
NS(=O)(=O)c1ccc(Oc2ccc(NC(=O)C3CCCNC3)cc2)cc1,0.45
Cc1sc2nc(-c3ncccn3)[nH]c(=O)c2c1C,0.4496
O=[N+]([O-])c1ccc(CCN2CCn3cccc3C2c2ccccc2)cc1,0.4479
O=C(Nc1nccs1)C1Cc2ccccc2CN1C(=O)c1ccccc1,0.4444
O=C(c1ccc(Cl)cc1)N(Cc1ccco1)Cc1ccco1,0.4442
NC(=O)Cc1csc(NC(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)n1,0.4405
O=C(NC1CCN(c2ccccn2)CC1)c1ccc(Cl)c(NC(=O)c2cccs2)c1,0.4404
O=C(Nc1cccnc1)C1C2Cc3ccccc3C21,0.4403
CC(C)(C)c1cc(NC(=O)Cn2cnc3sc(-c4ccccc4)cc3c2=O)on1,0.4388
N#Cc1ccc(-n2nccc2NC(=O)c2ccc(F)cc2F)cc1,0.4377
O=C(O)c1ccc(NC2CC(=O)N(c3ccc(Cl)cc3)C2=O)cc1,0.4367
O=S(=O)(Nc1cccc(OCc2ccccn2)c1)c1ccc2ccccc2c1,0.4367
CC(C(=O)Nc1nc2ccc(F)cc2s1)n1c(=O)oc2ccccc21,0.4347
O=C(NCc1ccncc1)c1ccccc1OCc1ccc(F)cc1,0.4337
COc1ccc2nc(NC(=O)c3cccnc3SC(F)F)sc2c1,0.4319
O=c1cc(NCc2ccccc2F)nc2ccccn12,0.4315
O=C(Cc1ccc(S(=O)(=O)N2CCCCC2)cc1)Nc1ccc2c(c1)CCC2,0.4292
O=C(Nc1sc2c(c1C(=O)NC1CCS(=O)(=O)C1)CCCC2)c1ccc(Cl)cc1,0.4283
CN1CCc2nc(NC(=O)c3cnn(-c4ccccc4Cl)c3)sc2C1,0.427
CC(=O)c1cccc(OCc2cn(-c3ccc(C(=O)N4CCC(C#N)CC4)cc3)nn2)c1,0.4257
Cn1cc(-c2nc(C(=O)Nc3nc4cc(Cl)ccc4n3C)cs2)cn1,0.4252
CC(NC(=O)Cn1cnc2sc(-c3ccccc3)cc2c1=O)c1ccccn1,0.4251
CCN(CC)CCNC(=O)c1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1,0.4247
CN(Cc1csc(-c2ccccc2Cl)n1)Cc1nc2ccccc2c(=O)[nH]1,0.424
CC(=O)Nc1ccc2nc(NC(=O)c3ccc(-n4cc(C)cn4)cc3)sc2c1,0.422
Cc1cccc(COc2cccc(CC(=O)Nc3ccc4c(=O)[nH]ccc4c3)c2)c1,0.4219
O=C1CN(C(=O)COC(=O)c2ccccc2F)c2ccccc2N1,0.4211
O=C(c1ccc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)cc1)N1CCCCC1,0.4202
Cc1ccnc(NC(=O)c2cc3cc([N+](=O)[O-])ccc3s2)c1,0.418
Cc1ccc(-n2cccn2)cc1NS(=O)(=O)c1ccc2c(c1)OCCCO2,0.4175
O=S(=O)(c1ccccc1Cl)N1CCc2ccccc2C1,0.4162
CS(=O)(=O)c1ccc2nc(NC(=O)c3ccc(-n4cnnn4)cc3)sc2c1,0.416
Cc1cnn(CC2CC2)c1NC(=O)c1ccc(COc2ccc(F)cc2)o1,0.4156
O=C(c1ccc(Br)o1)N1CCOc2ccccc21,0.4151
CCN(CC)S(=O)(=O)c1ccc(C(=O)N2CCSc3ccccc32)cc1,0.4151
O=C(NCc1ccccc1F)c1cc(-c2cccs2)on1,0.4127
CC(=O)Nc1cc(NS(=O)(=O)c2cc(C(=O)O)ccc2C)ccc1F,0.4114
CC(=O)Nc1ncccc1NS(=O)(=O)c1cc(C#N)ccc1C,0.4109
O=C(c1ccn(-c2ccccc2Cl)n1)N1CCSCC1,0.4099
O=C(Nc1ccc(C(=O)NC2CC2)cc1)c1ccoc1,0.4075
COc1ccc2c(c1)CCCN2C(=O)Cn1ccc2ccsc2c1=O,0.4071
CC1CC(C)CN(C(=O)c2ccccc2NC(=O)c2cccc(NS(C)(=O)=O)c2)C1,0.4056
c1ccc(-c2cccnc2NCc2cn(Cc3cccnc3)nn2)cc1,0.4052
N#Cc1cccc(OCc2cn(-c3ccc(C(=O)N4CCC(C#N)CC4)cc3)nn2)c1,0.4043
O=c1[nH]c2ccccc2c(=O)n1CC1CCCCS1(=O)=O,0.4022
NC(=O)c1ccc(N2CCCCC2)c(NC(=O)c2ccc(C(=O)O)cc2)c1,0.4009
CC(=O)N1CCc2cc(NS(=O)(=O)c3ccc(C(F)(F)F)cc3)ccc21,0.3975
Cc1cc(NC(=O)c2cccc(F)c2)sc1C(=O)NCCc1cnc(C2CC2)nc1,0.3948
COc1ccccc1-c1csc(NC(=O)c2cccc([N+](=O)[O-])c2)n1,0.3942
CC1Sc2ccc(C(=O)N3CCCC3c3nc4ccccc4s3)cc2NC1=O,0.3939
Cc1cccc(-n2cnc3cc(C(=O)NCc4cccc(CO)c4)ccc32)c1,0.3894
CN1C(=O)CN(C(=O)c2cc(-n3cccn3)ccn2)c2ccccc21,0.3883
O=C(CCNS(=O)(=O)c1ccc(F)c(F)c1)N1CCCC1c1nc2ccccc2s1,0.3867
O=C(Nc1ccc(N2CCCS2(=O)=O)cc1)c1cccc(Cl)c1,0.3859
Clc1ccccc1-c1nnc(CN2CCCC(c3nc4ccccc4s3)C2)o1,0.3859
O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(Br)c1,0.3841
Cc1nc2ccc(NC(=O)c3ccc(OCC(N)=O)cc3)cc2s1,0.3837
O=C(Cn1c(=O)[nH]c(=O)c2ccccc21)NCC(NCc1ccccc1)C(F)(F)F,0.3834
COC(=O)c1ccc(NS(=O)(=O)c2ccc(S(C)(=O)=O)cc2)c(C)c1,0.3833
O=S(=O)(NCc1ccc(Cn2cccn2)cc1)c1ccc(F)cc1,0.3832
CC(=O)Nc1cc(S(=O)(=O)Nc2cccc(Cl)c2)ccc1F,0.3813
Cc1cnc(SCc2nn(-c3ccc(F)cc3)c3c2CCC3)nc1,0.3798
O=C(Nc1ccccc1N1CCOCC1)c1ccc(OCc2cscn2)cc1,0.3793
Cc1cn2c(=O)c(C(=O)NC(c3cccc(F)c3)c3ccccn3)cnc2s1,0.378
Cc1oc(-c2ccccc2F)nc1C(=O)N1CC(C)Oc2cc(F)ccc21,0.3766
CCN(C(=O)c1nc(-c2ccccc2)oc1C1CC1)c1nc(C)cs1,0.3763
O=S(=O)(c1ccccc1)N1CCCC1c1cccnc1,0.3762
O=S(=O)(Nc1cc(C(F)(F)F)n[nH]1)c1ccc(Cl)cc1F,0.3744
COc1ccc(C)cc1NC(=O)c1ccc(N2C(=O)CCC2=O)cc1,0.3738
Cc1cc(F)ccc1S(=O)(=O)Nc1cc(-c2ccccc2)on1,0.3732
O=C1NCCN1c1cccc(C(=O)N2CCc3ccc(F)cc32)c1,0.3729
CSc1nccn1-c1cccc(C(=O)Nc2ncccc2O)c1,0.3709
O=C(O)c1ccc(NC(=O)c2cc3cc(F)ccc3s2)cc1,0.3707
CC(Sc1ncccn1)C(=O)Nc1ccc(OCc2ccccc2)cc1,0.3699
COc1ccc(-c2nsc(NC(=O)c3cccc(C)c3[N+](=O)[O-])n2)cc1,0.3695
Cc1cccc(OCCC(=O)N(Cc2ccccc2)Cc2nc3ccccc3c(=O)[nH]2)c1C,0.3694
CC1(c2cccc(F)c2)CCN(C(=O)Nc2ccnc3ccnn23)C1,0.3686
O=C(NCc1ccccc1)c1ccc(Cn2nnc3ccccc32)cc1,0.3668
O=C(CN1C(=O)NC2(CCc3ccccc3C2)C1=O)Nc1ccc2c(c1)CCC2,0.3668
O=C(NC1CCCc2[nH]c(=O)ccc21)c1cc(C2CC2)nc2ccc(Cl)cc12,0.3665
N#Cc1cc(Oc2ccc(NC(=O)c3cn[nH]c3-c3ccco3)cc2)ccn1,0.3664
O=C(c1ccc(-n2cccn2)cc1)N1CCN(S(=O)(=O)Cc2ccccc2)CC1,0.3656
